 num     #instances         #bytes  class name (module)
 267:             1             16  java.util.EnumMap$1 (java.base@11)
 268:             1             16  java.util.HashMap$EntrySet (java.base@11)
 269:             1             16  java.util.Optional (java.base@11)
 270:             1             16  java.util.Spliterators$EmptySpliterator$OfDouble (java.base@11)
 271:             1             16  java.util.Spliterators$EmptySpliterator$OfInt (java.base@11)
 272:             1             16  java.util.Spliterators$EmptySpliterator$OfLong (java.base@11)
 273:             1             16  java.util.Spliterators$EmptySpliterator$OfRef (java.base@11)
 274:             1             16  java.util.WeakHashMap$KeySet (java.base@11)
 275:             1             16  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@11)
 276:             1             16  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@11)
 277:             1             16  java.util.stream.Collectors$$Lambda$5/0x0000000800061440 (java.base@11)
 278:             1             16  java.util.stream.Collectors$$Lambda$6/0x0000000800061840 (java.base@11)
 279:             1             16  java.util.stream.Collectors$$Lambda$7/0x0000000800061c40 (java.base@11)
 280:             1             16  java.util.stream.Collectors$$Lambda$8/0x0000000800062040 (java.base@11)
 281:             1             16  java.util.stream.FindOps$FindSink$OfRef$$Lambda$10/0x0000000800062840 (java.base@11)
 282:             1             16  java.util.stream.FindOps$FindSink$OfRef$$Lambda$11/0x0000000800062c40 (java.base@11)
 283:             1             16  java.util.stream.FindOps$FindSink$OfRef$$Lambda$12/0x0000000800063040 (java.base@11)
 284:             1             16  java.util.stream.FindOps$FindSink$OfRef$$Lambda$13/0x0000000800063440 (java.base@11)
 285:             1             16  jdk.internal.misc.Unsafe (java.base@11)
 286:             1             16  jdk.internal.module.DefaultRoots$$Lambda$1/0x0000000800060040 (java.base@11)
 287:             1             16  jdk.internal.module.DefaultRoots$$Lambda$2/0x0000000800060840 (java.base@11)
 288:             1             16  jdk.internal.module.DefaultRoots$$Lambda$4/0x0000000800061040 (java.base@11)
 289:             1             16  jdk.internal.module.DefaultRoots$$Lambda$9/0x0000000800062440 (java.base@11)
 290:             1             16  jdk.internal.module.ModulePatcher (java.base@11)
 291:             1             16  jdk.internal.module.ModuleTarget (java.base@11)
 292:             1             16  jdk.internal.reflect.ReflectionFactory (java.base@11)
 293:             1             16  sun.net.www.protocol.file.Handler (java.base@11)
 294:             1             16  sun.net.www.protocol.jrt.Handler (java.base@11)
 295:             1             16  sun.nio.fs.MacOSXFileSystemProvider (java.base@11)
 296:             1             16  sun.util.locale.InternalLocaleBuilder$CaseInsensitiveChar (java.base@11)
Total      15328715      426563664
